id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,label
1,66,34,8,9,8,25,8,9,8,8,8,26,8,25,8,26,7,26,8,25,8,9,8,25,8,26,7,9,8,9,8,8,8,9,8,9,8,25,8,9,8,25,8,9,8,8,8,26,8,8,8,9,8,26,7,26,8,8,8,26,8,25,8,8,9,25,8,26,7,9,8,8,9,8,8,26,7,9,8,26,7,9,8,9,8,8,8,26,8,26,7,9,8,25,8,9,8,25,8,0
2,66,33,8,9,8,26,7,9,8,9,8,25,8,26,7,26,8,25,8,26,7,9,8,26,7,26,8,8,8,9,8,9,8,8,8,9,8,26,7,9,8,26,7,9,8,9,8,25,8,9,8,8,8,26,8,25,8,9,8,25,8,26,7,9,8,26,7,26,8,8,8,9,8,9,8,25,8,9,8,25,8,8,9,8,8,9,8,26,7,26,8,8,8,26,8,8,8,26,8,0
3,66,34,8,26,8,8,8,9,8,8,9,25,8,26,7,26,7,26,8,25,8,9,8,25,8,26,7,9,8,9,8,8,8,9,8,9,8,25,8,9,8,25,8,9,8,8,8,26,8,8,8,9,8,26,7,26,8,8,8,26,8,25,8,9,8,25,8,26,7,9,8,9,8,8,8,26,8,8,8,26,8,8,8,9,8,8,9,25,8,26,7,9,8,26,7,9,8,26,7,0
4,66,34,8,25,8,9,8,8,8,9,8,26,7,26,8,25,8,26,7,26,8,8,8,26,8,25,8,8,9,8,8,9,8,8,9,8,8,26,8,8,8,26,8,8,8,9,8,26,7,9,8,8,9,25,8,26,7,9,8,26,7,26,7,9,8,26,7,26,8,8,8,9,8,9,8,25,8,9,8,25,8,9,8,8,8,9,8,26,7,26,8,8,8,26,8,8,8,26,8,0
5,67,33,9,8,8,26,8,8,8,9,8,26,7,26,8,25,8,26,7,26,7,9,8,26,7,26,8,8,8,9,8,9,8,8,8,9,8,26,7,9,8,26,7,9,8,9,8,25,8,9,8,8,8,26,8,25,8,9,8,25,8,26,7,9,8,26,7,26,8,8,8,9,8,9,8,25,8,9,8,25,8,9,8,8,8,9,8,26,7,26,8,8,8,26,8,8,8,26,8,0
6,66,34,8,9,8,26,7,9,8,8,9,25,8,26,7,25,9,25,8,25,8,9,8,26,7,26,8,8,8,9,8,8,9,8,8,9,8,26,7,9,8,26,7,9,8,8,8,26,8,8,9,8,8,26,7,26,8,8,8,26,8,25,8,9,8,25,8,25,8,9,8,9,8,8,8,26,8,8,8,26,8,8,8,9,8,9,8,25,8,26,7,9,8,25,8,9,8,26,7,0
7,66,34,8,26,8,8,8,9,8,9,8,25,8,26,7,26,8,25,8,26,7,9,8,26,7,26,8,8,8,9,8,8,9,8,8,9,8,26,7,9,8,26,7,9,8,8,9,25,8,8,9,8,8,26,8,25,8,8,9,25,8,26,7,9,8,26,7,26,8,8,8,9,8,8,9,25,8,8,9,25,8,8,9,8,8,9,8,26,7,26,8,8,8,26,8,8,8,26,8,0
8,66,34,8,26,7,9,8,9,8,8,8,26,8,25,8,26,7,26,8,25,8,9,8,25,8,26,7,9,8,9,8,8,8,9,8,9,8,25,8,9,8,25,8,9,8,8,8,26,8,8,8,9,8,26,7,26,8,8,8,26,8,25,8,9,8,25,8,26,7,9,8,9,8,8,8,26,8,8,8,26,8,8,8,9,8,9,8,25,8,26,7,9,8,26,7,9,8,26,7,0
9,66,34,8,9,8,25,8,9,8,8,9,25,8,25,8,25,8,26,8,25,8,9,8,25,8,25,8,9,8,9,8,8,8,9,8,9,8,25,8,9,8,25,8,9,8,8,8,26,8,8,8,9,8,25,8,26,8,8,8,26,8,25,8,9,8,25,8,25,8,9,8,9,8,8,8,26,8,8,8,26,8,8,8,9,8,9,8,25,8,25,8,9,8,25,8,9,8,25,8,0
10,66,34,8,9,8,26,7,9,8,8,9,25,8,25,8,26,7,26,8,26,7,9,8,25,8,25,8,9,8,9,8,8,8,9,8,9,8,26,7,9,8,25,8,9,8,8,8,26,8,8,8,9,8,25,8,26,8,8,8,26,8,25,8,9,8,25,8,26,7,9,8,9,8,8,8,26,8,8,8,26,8,8,8,9,8,9,8,25,8,26,7,9,8,26,7,9,8,26,7,0
